680,Pablo Álvarez,ARG
681,Pablo Álvarez,URU
682,Quique Álvarez,ESP
683,Ricky Álvarez,ARG
684,Sergio Álvarez,ESP
685,Sergio Álvarez,ESP
686,Víctor Álvarez,ESP
687,Yeray Álvarez,ESP
688,Álvaro,BRA
689,Álvaro,
690,Skelly Alvero,FRA
691,Afonso Alves,BRA
692,Alex Alves,BRA
693,Bruno Alves,POR
694,Caio Alves,BRA
695,Dani Alves,BRA
696,Diego Alves,BRA
697,Paulo Alves,POR
698,Rodrigo Alvim,BRA
699,Antonio Alzamendi,URU
700,Steven Alzate,COL
701,Amador,ESP
702,Papa Amadou Diallo,SEN
703,Ibrahim Amadou,FRA
704,Moudachirou Amadou,BEN
705,Eloi Amagat,ESP
706,Morgan Amalfitano,FRA
707,Romain Amalfitano,FRA
708,Selim Amallah,MAR
709,Ioannis Amanatidis,GRE
710,Emmanuel Amankwaa Akurugu,GHA
711,Amaral,BRA
712,Amarildo Souza do Amaral,BRA
713,Leandro Amaral,BRA
714,David Amaral Rodríguez,ESP
715,Luis Amaranto Perea,COL
716,Francisco Javier Iruarrizaga Amarika,ESP
717,Daniel Amartey,GHA
718,Harry Amass,ENG
719,Jordi Amat,IDN
720,Amath,SEN
721,Gabriel Amato,ARG
722,Lorenzo Amatucci,ITA
723,Amauri,ITA
724,Jordan Amavi,FRA
725,José Amavisca,ESP
726,Antonio Amaya,
727,Antonio Amaya,ESP
728,Iván Amaya,ESP
729,Lukáš Ambros,CZE
730,Darren Ambrose,ENG
731,Jean Ambrose,HAI
732,Thierry Ambrose,GLP
733,Gabriele Ambrosetti,ITA
734,Massimo Ambrosini,ITA
735,Giuseppe Ambrosino,ITA
736,Marco Ambrosio,ITA
737,Stephan Ambrosius,GHA
738,Zeki Amdouni,SUI
739,Martin Amedick,GER
740,Horacio Ameli,ARG
741,Marco Amelia,ITA
742,Aurele Amenda,SUI
743,Sammy Ameobi,ENG
744,Shola Ameobi,NGA
745,Damià Amer,ESP
746,Daniele Amerini,ITA
747,Raffaele Ametrano,ITA
748,Wisdom Amey,ITA
749,Kelvin Amian,FRA
750,Daniel Amieva,ESP
751,Bruno Amione,ARG
752,Michael Amir Murillo,PAN
753,Nadiem Amiri,GER
754,Jordan Amissah,GHA
755,Antonio Amita,
756,Massimiliano Ammendola,ITA
757,Yanis Ammour,FRA
758,Pablo Amo,ESP
759,Samuel Amo-Ameyaw,ENG
760,Matthew Amoah,GHA
761,Kofi Amoako,GER
762,Nicolás Amodio,URU
763,Roberto Amodio,ITA
764,Daniel Amokachi,NGA
765,Guillermo Amor,ESP
766,Fernando Amorebieta,VEN
767,Amores,ESP
768,Christian Amoroso,ITA
769,Márcio Amoroso,BRA
770,Lorenzo Amoruso,ITA
771,Luca Amoruso,ITA
772,Nicola Amoruso,ITA
773,Ben Amos,ENG
774,Luke Amos,ENG
775,Mathis Amougou,FRA
776,Mohamed Amoura,ALG
777,Ethan Ampadu,WAL
778,Opoku Ampomah,GHA
779,Álvaro Ampuero,PER
780,Nordin Amrabat,MAR
781,Sofyan Amrabat,MAR
782,Patrick Amrane,FRA
783,Ayoub Amraoui,MAR
784,Chadli Amri,ALG
785,Mohamed Amsif,MAR
786,Sascha Amstätter,GER
787,Emmanuel Amunike,NGA
788,Stanley Amuzie,NGA
789,Gharib Amzine,MAR
790,Giuseppe Anaclerio,ITA
